Date,P,PET,Pe,ETa,S,SUST,Qs,Rp,R,h,hmeas,Smeas
2002-04-24,0.0,5.3,0.0,1.83978866297,0.351414495395,0.0,0.0,0.0,0.0632401426609,221.064831904,221.28,
2002-04-25,0.0,6.0,0.0,2.03536238488,0.349316183658,0.0,0.0,0.0,0.0694075125371,221.058965163,,
2002-04-26,0.0,5.8,0.0,1.91680777174,0.347340093172,0.0,0.0,0.0,0.0760027373575,221.053293375,,
2002-04-27,0.0,5.4,0.0,1.74015209637,0.345546121938,0.0,0.0,0.0,0.0830156310131,221.047828257,,
2002-04-28,0.0,5.3,0.0,1.66831019281,0.343826214523,0.0,0.0,0.0,0.0904307007788,221.042581071,,
2002-04-29,0.0,5.5,0.0,1.69185074949,0.342082038493,0.0,0.0,0.0,0.0982274857151,221.037562481,,
2002-04-30,0.0,5.6,0.0,1.6819142315,0.340348106295,0.0,0.0,0.0,0.106380965143,221.032782423,,
2002-05-01,0.0,4.7,0.0,1.37765041495,0.338927848136,0.0,0.0,0.0,0.11486202028,221.028249992,,
2002-05-02,0.2,2.9,0.0,0.832878164972,0.338069210852,0.0,0.0,0.0,0.123637933494,221.023973338,,
2002-05-03,0.0,5.2,0.0,1.4748329018,0.336548764562,0.0,0.0,0.0,0.132672911144,221.019959578,,
2002-05-04,0.0,5.2,0.0,1.44188989883,0.33506228013,0.0,0.0,0.0,0.141928617546,221.016214726,,
2002-05-05,0.0,3.5,0.0,0.94882491856,0.334084110111,0.0,0.0,0.0,0.151364709209,221.012743638,,
2002-05-06,0.0,5.1,0.0,1.36178733985,0.332680205637,0.0,0.0,0.0,0.16093936001,221.009549968,,
2002-05-07,7.6,3.1,4.6,0.870873618339,0.336524665824,0.0,0.0,0.0,0.170609769507,221.006636144,,
2002-05-08,4.1,1.4,1.1,0.394675670914,0.337251804307,0.0,0.0,0.0,0.180332647948,221.004003354,,
2002-05-09,6.5,2.0,3.5,0.590500431085,0.340251288399,0.0,0.0,0.0,0.190064672884,221.001651547,,
2002-05-10,0.0,3.3,0.0,0.965955215488,0.33925545828,0.0,0.0,0.0,0.199762913421,220.999579446,,
2002-05-11,0.0,4.1,0.0,1.18311407895,0.338035753044,0.0,0.0,0.0,0.20938521928,220.997784571,,
2002-05-12,0.0,5.0,0.0,1.41741152175,0.336574504053,0.0,0.0,0.0,0.218890572745,220.996263271,,
2002-05-13,0.0,3.9,0.0,1.08183569085,0.335459209526,0.0,0.0,0.0,0.228239402425,220.995010771,,
2002-05-14,0.0,5.5,0.0,1.50010688497,0.333912707583,0.0,0.0,0.0,0.237393858513,220.994021218,,
2002-05-15,0.0,6.3,0.0,1.67770857404,0.332183111115,0.0,0.0,0.0,0.246318049804,220.993287742,,
2002-05-16,0.0,6.8,0.0,1.76185481491,0.330366765945,0.0,0.0,0.0,0.254978243289,220.992802515,,
2002-05-17,1.8,5.0,0.0,1.25764095718,0.329070228875,0.0,0.0,0.0,0.263343027574,220.992556821,,
2002-05-18,0.0,5.7,0.0,1.40291793579,0.327623921725,0.0,0.0,0.0,0.271383441705,220.992541126,,
2002-05-19,0.0,5.9,0.0,1.41658807574,0.326163521647,0.0,0.0,0.0,0.279073071268,220.992745152,,
2002-05-20,0.0,6.4,0.0,1.49769391058,0.324619507306,0.0,0.0,0.0,0.28638811385,220.993157953,,
2002-05-21,0.2,5.7,0.0,1.29721329852,0.323282174009,0.0,0.0,0.0,0.293307416065,220.993767989,,
2002-05-22,0.4,4.5,0.0,0.999040762662,0.322252235078,0.0,0.0,0.0,0.29981248448,220.994563207,,
2002-05-23,0.0,5.3,0.0,1.15390352464,0.321062643816,0.0,0.0,0.0,0.305887472793,220.995531112,,
2002-05-24,0.0,5.1,0.0,1.08508118108,0.319944003423,0.0,0.0,0.0,0.311519147655,220.996658847,,
2002-05-25,0.0,6.4,0.0,1.33184009127,0.318570972401,0.0,0.0,0.0,0.316696835468,220.997933263,,
2002-05-26,0.0,5.9,0.0,1.19403640485,0.317340007035,0.0,0.0,0.0,0.321412352489,220.999340991,,
2002-05-27,0.0,5.5,0.0,1.08487516122,0.316221579034,0.0,0.0,0.0,0.325659920448,221.000868515,,
2002-05-28,0.0,6.0,0.0,1.15553947584,0.315030301224,0.0,0.0,0.0,0.329436069818,221.002502231,,
