# generated by code/tools/gis_to_dataset.py on 2026-09-11 17:01
# source   : E:\00code_ws\LAMATA_new\GIS\hydrography.shp
# size     : 15564 bytes, mtime 2012-03-06 13:29
# crs      : EPSG:23029
# features : 97
# stream geometry in EPSG:23029 -- GRID-INDEPENDENT, the model maps it onto its own grid
seg_id,seq,x,y
58,2,740733.621,4554745.123
58,3,740733.621,4554735.123
58,4,740718.621,4554710.123
58,5,740718.621,4554665.123
58,6,740698.621,4554640.123
58,7,740693.621,4554565.123
58,8,740688.621,4554555.123
58,9,740653.621,4554530.123
58,10,740623.621,4554485.123
59,0,740883.621,4554715.123
59,1,740883.621,4554710.123
59,2,740938.621,4554660.123
59,3,740938.621,4554650.123
59,4,740963.621,4554625.123
59,5,740963.621,4554600.123
59,6,740968.621,4554595.123
59,7,740968.621,4554510.123
59,8,740978.621,4554485.123
59,9,741008.621,4554445.123
60,0,741008.621,4554445.123
60,1,741083.621,4554435.123
61,0,741083.621,4554435.123
61,1,741088.621,4554440.123
61,2,741113.621,4554440.123
61,3,741153.621,4554475.123
61,4,741188.621,4554485.123
61,5,741228.621,4554485.123
61,6,741243.621,4554490.123
61,7,741263.621,4554475.123
61,8,741308.621,4554475.123
61,9,741318.621,4554485.123
61,10,741333.621,4554485.123
61,11,741343.621,4554475.123
61,12,741358.621,4554475.123
61,13,741363.621,4554480.123
61,14,741383.621,4554480.123
61,15,741438.621,4554495.123
61,16,741463.621,4554495.123
61,17,741468.621,4554500.123
61,18,741468.621,4554515.123
61,19,741521.121,4554545.123
62,0,741008.621,4554445.123
62,1,740998.621,4554415.123
63,0,740623.621,4554485.123
63,1,740628.621,4554460.123
63,2,740638.621,4554445.123
63,3,740648.621,4554445.123
63,4,740703.621,4554390.123
63,5,740718.621,4554365.123
64,0,740623.621,4554485.123
64,1,740603.621,4554450.123
64,2,740528.621,4554380.123
64,3,740518.621,4554340.123
65,0,741083.621,4554435.123
65,1,741083.621,4554430.123
65,2,741113.621,4554410.123
